TIMESTAMP;BALLAST;ANGULAR;LINEAR;
17/02/2025 00:50:57.637;0;1;1;
17/02/2025 00:50:59.310;0;0;0;
17/02/2025 00:51:17.658;0;1;0;
17/02/2025 00:51:19.450;0;0;0;
17/02/2025 00:51:37.540;0;1;1;
17/02/2025 00:51:39.280;0;0;0;
17/02/2025 00:51:57.541;0;1;1;
17/02/2025 00:51:58.980;0;0;0;
17/02/2025 00:52:17.541;0;1;0;
17/02/2025 00:52:19.131;0;0;0;
17/02/2025 00:52:37.551;0;1;0;
17/02/2025 00:52:38.901;0;0;0;
17/02/2025 00:52:57.562;0;0;1;
17/02/2025 00:52:58.791;0;0;0;
17/02/2025 00:53:37.582;0;1;0;
17/02/2025 00:53:39.172;0;0;0;
17/02/2025 00:53:57.630;0;1;0;
17/02/2025 00:53:58.982;0;0;0;
17/02/2025 00:54:17.880;0;1;0;
17/02/2025 00:54:23.667;0;0;0;
17/02/2025 00:54:37.613;0;0;1;
17/02/2025 00:54:39.263;0;0;0;
17/02/2025 00:54:57.623;0;0;1;
17/02/2025 00:54:59.3;0;0;0;
17/02/2025 01:01:17.819;0;1;0;
17/02/2025 01:01:19.188;0;0;0;
17/02/2025 01:01:37.829;0;1;0;
17/02/2025 01:01:39.239;0;0;0;
17/02/2025 01:01:57.840;0;1;0;
17/02/2025 01:01:59.399;0;0;0;
17/02/2025 01:02:17.998;0;1;0;
17/02/2025 01:02:19.409;0;0;0;
17/02/2025 01:02:37.998;0;1;1;
17/02/2025 01:02:39.580;0;0;0;
17/02/2025 01:02:57.870;0;1;1;
17/02/2025 01:02:59.430;0;0;0;
17/02/2025 01:03:17.871;0;1;0;
17/02/2025 01:03:19.610;0;0;0;
17/02/2025 01:03:37.871;0;1;0;
17/02/2025 01:03:39.431;0;0;0;
17/02/2025 01:03:56.967;1;0;0;
17/02/2025 01:03:56.967;1;1;1;
17/02/2025 01:04:10.302;1;0;0;
17/02/2025 01:04:27.259;0;0;0;
17/02/2025 05:50:18.132;0;1;0;
17/02/2025 05:50:18.133;1;1;0;
17/02/2025 05:50:19.806;1;0;0;
17/02/2025 05:50:56.72;1;0;1;
17/02/2025 05:51:00.857;0;0;1;
17/02/2025 05:51:05.692;0;0;0;
17/02/2025 05:51:38.132;0;1;1;
17/02/2025 05:51:43.731;0;0;0;
17/02/2025 05:51:58.147;0;0;1;
17/02/2025 05:51:59.617;0;0;0;
17/02/2025 05:52:18.367;0;1;1;
17/02/2025 05:52:20.238;0;0;0;
17/02/2025 05:52:38.368;0;1;0;
17/02/2025 05:52:40.278;0;0;0;
17/02/2025 05:52:58.398;0;1;1;
17/02/2025 05:53:00.378;0;0;0;
17/02/2025 05:53:18.378;0;1;1;
17/02/2025 05:53:19.798;0;0;0;
17/02/2025 05:53:38.388;0;1;0;
17/02/2025 05:53:39.728;0;0;0;
17/02/2025 05:53:58.399;0;0;1;
17/02/2025 05:53:59.588;0;0;0;
17/02/2025 05:55:18.439;0;1;1;
17/02/2025 05:55:19.659;0;0;0;
17/02/2025 05:56:18.470;0;1;0;
17/02/2025 05:56:19.819;0;0;0;
17/02/2025 05:57:38.768;0;1;0;
17/02/2025 05:57:40.80;0;0;0;
17/02/2025 05:57:58.511;0;0;1;
17/02/2025 05:57:59.740;0;0;0;
17/02/2025 05:58:18.521;0;1;0;
17/02/2025 05:58:20.81;0;0;0;
17/02/2025 05:58:38.531;0;1;0;
17/02/2025 05:58:39.791;0;0;0;
17/02/2025 05:59:38.552;0;1;0;
17/02/2025 05:59:39.841;0;0;0;
17/02/2025 05:59:58.562;0;1;0;
17/02/2025 05:59:59.911;0;0;0;
17/02/2025 06:02:58.674;0;1;0;
17/02/2025 06:02:59.933;0;0;0;
